Dep Airport,Arr Airport
AMS,FRA
AMS,EDI
AMS,DXB
AMS,TPE
AMS,LCY
AMS,BCN
AMS,LIS
ARN,DXB
ARN,AMS
ARN,HEL
ARN,LHR
ARN,CPH
ATL,DEN
AUH,RUH
AUS,LAX
AUS,SFO
BFU,PVG
BFU,WUH
BKK,VTE
BKK,KUL
BKK,OSL
BKK,ZRH
BKK,LHR
BKK,SGN
BKK,SIN
BKK,AUH
BKK,AMS
BLL,CPH
BLR,BOM
BNE,TPE
BOG,PTY
BOM,BKK
BOM,HKG
BOS,JFK
BOS,ORD
BOS,AUS
BRU,CPH
BSB,EZE
BSB,SDU
BSL,LHR
BWI,SFO
CAI,TLV
CAN,BHY
CAN,HGH
CAN,PVG
CAN,ZYI
CAN,XIY
CAN,DLC
CAN,TYN
CAN,SZX
CAN,NGB
CAN,SZV
CAN,JZH
CAN,HFE
CAN,CTU
CAN,SJW
CAN,CKG
CAN,KMG
CAN,FOC
CAN,BAV
CAN,HOO
CAN,KUL
CAN,YIW
CAN,SHE
CAN,KOW
CAN,AGP
CAN,TSN
CDG,ZRH
CDG,TXL
CDG,BSL
CDG,LGW
CDG,CPH
CGH,BSB
CGK,SUB
CGK,DPS
CGK,BKK
CGK,SIN
CGO,TPE
CGO,PVG
CGO,HKG
CGO,HGH
CGO,YNT
CGO,HRB
CGO,KMG
CGQ,WUH
CGQ,HFE
CKG,INC
CKG,TSA
CKG,NGB
CKG,PVG
CKG,SHA
CKG,HAK
CKG,IQN
CKG,CSX
CKG,DLC
CKG,TSN
CKG,TAO
CKG,ZUH
CKG,HRB
CLT,ATL
CPH,STN
CPH,DXB
CPH,BKK
CPH,AMS
CSX,DLC
CSX,SZX
CSX,CGO
CSX,CTU
CSX,CGK
CSX,SHE
CTU,CGO
CTU,WUH
CTU,SZX
CTU,PEK
CTU,JHG
CTU,FOC
CTU,中山
CTU,WUH
CTU,YTY
CTU,HAK
CTU,TSN
CTU,HFE
CTU,XIY
CTU,TYN
CTU,TNA
CTU,CKG
CTU,DLU
CTU,YNZ
CTU,TAO
CTU,URC
CTU,XNN
CTU,LXA
CTU,ZUH
CTU,LZH
CTU,XMN
CTU,SHE
CTU,WUX
CTU,WUS
DAD,HPH
DEL,BOM
DEL,MAA
DEL,HKG
DEL,BLR
DEN,PDX
DEN,SEA
DFW,AUS
DFW,MSP
DIG,KMG
DLC,PEK
DLC,PVG
DLC,CSX
